Date,Appliances,Relation,Appliance start times
01-01,['kitchen_lights', 'microwave'],>,['13:15:00', '13:30:00']
01-03,['laptop', 'lcd_office'],>,['07:45:00', '07:45:00']
01-03,['laptop', 'lcd_office'],>,['19:45:00', '19:45:00']
01-03,['laptop', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-03,['laptop', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-04,['tv', 'kitchen_lights'],>,['19:45:00', '20:45:00']
01-04,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:45:00', '16:45:00']
01-04,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:45:00', '17:45:00']
01-04,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:45:00', '20:45:00']
01-04,['amp_livingroom', 'kitchen_lights'],>,['19:45:00', '20:45:00']
01-04,['amp_livingroom', 'tv'],>,['17:00:00', '17:00:00']
01-04,['amp_livingroom', 'tv'],>,['19:45:00', '19:45:00']
01-04,['amp_livingroom', 'subwoofer_livingroom'],>,['10:45:00', '10:45:00']
01-04,['amp_livingroom', 'subwoofer_livingroom'],>,['17:00:00', '17:00:00']
01-04,['amp_livingroom', 'subwoofer_livingroom'],>,['18:45:00', '18:45:00']
01-04,['amp_livingroom', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
01-04,['subwoofer_livingroom', 'kitchen_lights'],>,['19:45:00', '20:45:00']
01-04,['subwoofer_livingroom', 'tv'],>,['17:00:00', '17:00:00']
01-04,['subwoofer_livingroom', 'tv'],>,['19:45:00', '19:45:00']
01-04,['htpc', 'kitchen_lights'],>,['19:45:00', '20:45:00']
01-04,['htpc', 'tv'],>,['17:00:00', '17:00:00']
01-04,['htpc', 'tv'],>,['19:45:00', '19:45:00']
01-04,['htpc', 'subwoofer_livingroom'],>,['10:45:00', '10:45:00']
01-04,['htpc', 'subwoofer_livingroom'],>,['17:00:00', '17:00:00']
01-04,['htpc', 'subwoofer_livingroom'],>,['17:00:00', '18:45:00']
01-04,['htpc', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
01-04,['gigE_&_USBhub', 'laptop'],>,['16:15:00', '16:15:00']
01-05,['kitchen_lights', 'microwave'],>,['21:15:00', '21:15:00']
01-05,['tv', 'kitchen_lights'],>,['17:00:00', '17:15:00']
01-05,['tv', 'kitchen_lights'],>,['19:45:00', '21:15:00']
01-05,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:00:00', '16:45:00']
01-05,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:00:00', '17:15:00']
01-05,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:00:00', '19:00:00']
01-05,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:00:00', '21:15:00']
01-05,['amp_livingroom', 'kitchen_lights'],>,['16:45:00', '16:45:00']
01-05,['amp_livingroom', 'kitchen_lights'],>,['16:45:00', '17:15:00']
01-05,['amp_livingroom', 'kitchen_lights'],>,['19:45:00', '21:15:00']
01-05,['amp_livingroom', 'tv'],>,['16:45:00', '17:00:00']
01-05,['amp_livingroom', 'tv'],>,['19:45:00', '19:45:00']
01-05,['amp_livingroom', 'subwoofer_livingroom'],>,['16:45:00', '16:45:00']
01-05,['amp_livingroom', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
01-05,['subwoofer_livingroom', 'kitchen_lights'],>,['16:45:00', '16:45:00']
01-05,['subwoofer_livingroom', 'kitchen_lights'],>,['16:45:00', '17:15:00']
01-05,['subwoofer_livingroom', 'kitchen_lights'],>,['19:45:00', '21:15:00']
01-05,['subwoofer_livingroom', 'tv'],>,['16:45:00', '17:00:00']
01-05,['subwoofer_livingroom', 'tv'],>,['19:45:00', '19:45:00']
01-05,['htpc', 'kitchen_lights'],>,['17:00:00', '17:15:00']
01-05,['htpc', 'kitchen_lights'],>,['19:45:00', '21:15:00']
01-05,['htpc', 'tv'],>,['17:00:00', '17:00:00']
01-05,['htpc', 'tv'],>,['19:45:00', '19:45:00']
01-05,['htpc', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
01-05,['hair_dryer', 'straighteners'],>,['08:45:00', '08:45:00']
01-06,['tv', 'kitchen_lights'],>,['19:00:00', '22:00:00']
01-06,['livingroom_lamp_tv', 'kitchen_lights'],>,['19:00:00', '22:00:00']
01-06,['amp_livingroom', 'kitchen_lights'],>,['19:00:00', '22:00:00']
01-06,['amp_livingroom', 'subwoofer_livingroom'],>,['19:00:00', '19:00:00']
01-06,['subwoofer_livingroom', 'kitchen_lights'],>,['19:00:00', '22:00:00']
01-06,['htpc', 'kitchen_lights'],>,['19:00:00', '22:00:00']
01-06,['htpc', 'tv'],>,['19:00:00', '19:00:00']
01-06,['htpc', 'subwoofer_livingroom'],>,['19:00:00', '19:00:00']
01-06,['lcd_office', 'office_lamp3'],>,['08:30:00', '08:45:00']
01-06,['lcd_office', 'office_lamp3'],>,['19:30:00', '19:30:00']
01-06,['gigE_&_USBhub', 'lcd_office'],>,['08:30:00', '08:30:00']
01-06,['gigE_&_USBhub', 'lcd_office'],>,['08:30:00', '18:00:00']
01-06,['gigE_&_USBhub', 'lcd_office'],>,['19:30:00', '19:30:00']
01-06,['gigE_&_USBhub', 'laptop'],>,['08:30:00', '08:30:00']
01-06,['gigE_&_USBhub', 'laptop'],>,['19:30:00', '19:30:00']
01-06,['gigE_&_USBhub', 'office_lamp3'],>,['08:30:00', '08:45:00']
01-06,['gigE_&_USBhub', 'office_lamp3'],>,['19:30:00', '19:30:00']
01-06,['laptop', 'lcd_office'],>,['08:30:00', '08:30:00']
01-06,['laptop', 'lcd_office'],>,['08:30:00', '18:00:00']
01-06,['laptop', 'lcd_office'],>,['19:30:00', '19:30:00']
01-06,['laptop', 'office_lamp3'],>,['08:30:00', '08:45:00']
01-06,['laptop', 'office_lamp3'],>,['19:30:00', '19:30:00']
01-07,['kitchen_lights', 'microwave'],>,['11:00:00', '12:30:00']
01-07,['tv', 'kitchen_lights'],>,['19:30:00', '19:45:00']
01-07,['tv', 'kitchen_lights'],>,['19:30:00', '20:30:00']
01-07,['tv', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-07,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:00:00', '18:15:00']
01-07,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:00:00', '19:45:00']
01-07,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:00:00', '20:30:00']
01-07,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:00:00', '21:00:00']
01-07,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '19:45:00']
01-07,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '20:30:00']
01-07,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-07,['amp_livingroom', 'tv'],>,['19:30:00', '19:30:00']
01-07,['amp_livingroom', 'subwoofer_livingroom'],>,['19:30:00', '19:30:00']
01-07,['subwoofer_livingroom', 'kitchen_lights'],>,['19:30:00', '19:45:00']
01-07,['subwoofer_livingroom', 'kitchen_lights'],>,['19:30:00', '20:30:00']
01-07,['subwoofer_livingroom', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-07,['subwoofer_livingroom', 'tv'],>,['19:30:00', '19:30:00']
01-07,['htpc', 'kitchen_lights'],>,['19:30:00', '19:45:00']
01-07,['htpc', 'kitchen_lights'],>,['19:30:00', '20:30:00']
01-07,['htpc', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-07,['htpc', 'tv'],>,['19:30:00', '19:30:00']
01-07,['htpc', 'subwoofer_livingroom'],>,['19:30:00', '19:30:00']
01-07,['hifi_office', 'office_lamp3'],>,['08:45:00', '16:00:00']
01-07,['hifi_office', 'office_lamp3'],>,['19:00:00', '19:00:00']
01-07,['hifi_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-07,['lcd_office', 'office_lamp3'],>,['08:00:00', '08:00:00']
01-07,['lcd_office', 'office_lamp3'],>,['08:00:00', '16:00:00']
01-07,['lcd_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-07,['gigE_&_USBhub', 'hifi_office'],>,['08:00:00', '08:45:00']
01-07,['gigE_&_USBhub', 'hifi_office'],>,['19:00:00', '19:00:00']
01-07,['gigE_&_USBhub', 'hifi_office'],>,['19:45:00', '19:45:00']
01-07,['gigE_&_USBhub', 'lcd_office'],>,['08:00:00', '08:00:00']
01-07,['gigE_&_USBhub', 'lcd_office'],>,['19:00:00', '19:00:00']
01-07,['gigE_&_USBhub', 'lcd_office'],>,['19:45:00', '19:45:00']
01-07,['gigE_&_USBhub', 'laptop'],>,['08:00:00', '08:00:00']
01-07,['gigE_&_USBhub', 'laptop'],>,['19:45:00', '19:45:00']
01-07,['gigE_&_USBhub', 'office_lamp3'],>,['08:00:00', '08:00:00']
01-07,['gigE_&_USBhub', 'office_lamp3'],>,['08:00:00', '16:00:00']
01-07,['gigE_&_USBhub', 'office_lamp3'],>,['19:00:00', '19:00:00']
01-07,['gigE_&_USBhub', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-07,['laptop', 'lcd_office'],>,['08:00:00', '08:00:00']
01-07,['laptop', 'lcd_office'],>,['19:45:00', '19:45:00']
01-07,['laptop', 'office_lamp3'],>,['08:00:00', '08:00:00']
01-07,['laptop', 'office_lamp3'],>,['08:00:00', '16:00:00']
01-07,['laptop', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-07,['hair_dryer', 'straighteners'],>,['16:45:00', '16:45:00']
01-08,['kitchen_lights', 'microwave'],>,['12:45:00', '12:45:00']
01-08,['tv', 'kitchen_lights'],>,['19:15:00', '19:45:00']
01-08,['tv', 'kitchen_lights'],>,['19:15:00', '20:45:00']
01-08,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:30:00', '17:15:00']
01-08,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:30:00', '19:45:00']
01-08,['livingroom_lamp_tv', 'kitchen_lights'],>,['16:30:00', '20:45:00']
01-08,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '19:45:00']
01-08,['amp_livingroom', 'kitchen_lights'],>,['19:15:00', '20:45:00']
01-08,['amp_livingroom', 'tv'],>,['19:15:00', '19:15:00']
01-08,['amp_livingroom', 'subwoofer_livingroom'],>,['19:15:00', '19:15:00']
01-08,['subwoofer_livingroom', 'kitchen_lights'],>,['19:15:00', '19:45:00']
01-08,['subwoofer_livingroom', 'kitchen_lights'],>,['19:15:00', '20:45:00']
01-08,['subwoofer_livingroom', 'tv'],>,['19:15:00', '19:15:00']
01-08,['htpc', 'kitchen_lights'],>,['19:15:00', '19:45:00']
01-08,['htpc', 'kitchen_lights'],>,['19:15:00', '20:45:00']
01-08,['htpc', 'tv'],>,['19:15:00', '19:15:00']
01-08,['htpc', 'subwoofer_livingroom'],>,['19:15:00', '19:15:00']
01-08,['hifi_office', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-08,['lcd_office', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-08,['lcd_office', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-08,['gigE_&_USBhub', 'hifi_office'],>,['07:45:00', '07:45:00']
01-08,['gigE_&_USBhub', 'hifi_office'],>,['19:45:00', '20:15:00']
01-08,['gigE_&_USBhub', 'lcd_office'],>,['07:45:00', '07:45:00']
01-08,['gigE_&_USBhub', 'lcd_office'],>,['19:45:00', '19:45:00']
01-08,['gigE_&_USBhub', 'laptop'],>,['07:45:00', '07:45:00']
01-08,['gigE_&_USBhub', 'laptop'],>,['19:45:00', '19:45:00']
01-08,['gigE_&_USBhub', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-08,['gigE_&_USBhub', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-08,['laptop', 'lcd_office'],>,['07:45:00', '07:45:00']
01-08,['laptop', 'lcd_office'],>,['19:45:00', '19:45:00']
01-08,['laptop', 'office_lamp3'],>,['07:45:00', '07:45:00']
01-08,['laptop', 'office_lamp3'],>,['19:45:00', '19:45:00']
01-09,['tv', 'kitchen_lights'],>,['20:00:00', '20:45:00']
01-09,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:30:00', '19:45:00']
01-09,['livingroom_lamp_tv', 'kitchen_lights'],>,['18:30:00', '20:45:00']
01-09,['amp_livingroom', 'kitchen_lights'],>,['20:00:00', '20:45:00']
01-09,['amp_livingroom', 'tv'],>,['20:00:00', '20:00:00']
01-09,['amp_livingroom', 'subwoofer_livingroom'],>,['20:00:00', '20:00:00']
01-09,['subwoofer_livingroom', 'kitchen_lights'],>,['20:00:00', '20:45:00']
01-09,['subwoofer_livingroom', 'tv'],>,['20:00:00', '20:00:00']
01-09,['htpc', 'kitchen_lights'],>,['20:00:00', '20:45:00']
01-09,['htpc', 'tv'],>,['20:00:00', '20:00:00']
01-09,['htpc', 'subwoofer_livingroom'],>,['20:00:00', '20:00:00']
01-09,['hifi_office', 'office_lamp3'],>,['05:45:00', '05:45:00']
01-09,['hifi_office', 'office_lamp3'],>,['10:45:00', '13:45:00']
01-09,['lcd_office', 'office_lamp3'],>,['05:45:00', '05:45:00']
01-09,['lcd_office', 'office_lamp3'],>,['10:45:00', '13:45:00']
01-09,['gigE_&_USBhub', 'hifi_office'],>,['05:45:00', '05:45:00']
01-09,['gigE_&_USBhub', 'hifi_office'],>,['10:45:00', '10:45:00']
01-09,['gigE_&_USBhub', 'lcd_office'],>,['05:45:00', '05:45:00']
01-09,['gigE_&_USBhub', 'lcd_office'],>,['10:45:00', '10:45:00']
01-09,['gigE_&_USBhub', 'laptop'],>,['05:45:00', '05:45:00']
01-09,['gigE_&_USBhub', 'laptop'],>,['10:45:00', '10:45:00']
01-09,['gigE_&_USBhub', 'office_lamp3'],>,['05:45:00', '05:45:00']
01-09,['gigE_&_USBhub', 'office_lamp3'],>,['10:45:00', '13:45:00']
01-09,['laptop', 'lcd_office'],>,['05:45:00', '05:45:00']
01-09,['laptop', 'lcd_office'],>,['10:45:00', '10:45:00']
01-09,['laptop', 'office_lamp3'],>,['05:45:00', '05:45:00']
01-09,['laptop', 'office_lamp3'],>,['10:45:00', '13:45:00']
01-10,['kitchen_lights', 'microwave'],>,['14:15:00', '14:15:00']
01-10,['kitchen_lights', 'microwave'],>,['17:15:00', '17:15:00']
01-10,['amp_livingroom', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
01-10,['htpc', 'subwoofer_livingroom'],>,['19:45:00', '19:45:00']
01-10,['hifi_office', 'office_lamp3'],>,['20:15:00', '20:15:00']
01-10,['lcd_office', 'office_lamp3'],>,['20:15:00', '20:15:00']
01-10,['gigE_&_USBhub', 'hifi_office'],>,['20:15:00', '20:15:00']
01-10,['gigE_&_USBhub', 'lcd_office'],>,['20:15:00', '20:15:00']
01-10,['gigE_&_USBhub', 'laptop'],>,['20:15:00', '20:15:00']
01-10,['gigE_&_USBhub', 'office_lamp3'],>,['20:15:00', '20:15:00']
01-10,['laptop', 'lcd_office'],>,['20:15:00', '20:15:00']
01-10,['laptop', 'office_lamp3'],>,['20:15:00', '20:15:00']
01-11,['hifi_office', 'office_lamp3'],>,['05:15:00', '05:15:00']
01-11,['hifi_office', 'office_lamp3'],>,['13:00:00', '15:30:00']
01-11,['lcd_office', 'office_lamp3'],>,['05:15:00', '05:15:00']
01-11,['lcd_office', 'office_lamp3'],>,['13:00:00', '15:30:00']
01-11,['gigE_&_USBhub', 'hifi_office'],>,['05:15:00', '05:15:00']
01-11,['gigE_&_USBhub', 'hifi_office'],>,['13:00:00', '13:00:00']
01-11,['gigE_&_USBhub', 'lcd_office'],>,['05:15:00', '05:15:00']
01-11,['gigE_&_USBhub', 'lcd_office'],>,['13:00:00', '13:00:00']
01-11,['gigE_&_USBhub', 'laptop'],>,['05:15:00', '05:15:00']
01-11,['gigE_&_USBhub', 'laptop'],>,['13:00:00', '13:00:00']
01-11,['gigE_&_USBhub', 'office_lamp3'],>,['05:15:00', '05:15:00']
01-11,['gigE_&_USBhub', 'office_lamp3'],>,['13:00:00', '15:30:00']
01-11,['laptop', 'lcd_office'],>,['05:15:00', '05:15:00']
01-11,['laptop', 'office_lamp3'],>,['05:15:00', '05:15:00']
01-14,['hifi_office', 'office_lamp3'],>,['16:30:00', '16:30:00']
01-14,['gigE_&_USBhub', 'hifi_office'],>,['16:30:00', '16:30:00']
01-14,['gigE_&_USBhub', 'lcd_office'],>,['16:30:00', '16:45:00']
01-14,['gigE_&_USBhub', 'laptop'],>,['16:30:00', '16:45:00']
01-14,['gigE_&_USBhub', 'office_lamp3'],>,['16:30:00', '16:30:00']
01-14,['laptop', 'lcd_office'],>,['16:45:00', '16:45:00']
01-15,['tv', 'kitchen_lights'],>,['14:00:00', '14:45:00']
01-15,['tv', 'kitchen_lights'],>,['19:30:00', '19:30:00']
01-15,['tv', 'kitchen_lights'],>,['19:30:00', '20:15:00']
01-15,['tv', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-15,['tv', 'kitchen_lights'],>,['19:30:00', '21:30:00']
01-15,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:45:00', '21:00:00']
01-15,['livingroom_lamp_tv', 'kitchen_lights'],>,['20:45:00', '21:30:00']
01-15,['amp_livingroom', 'kitchen_lights'],>,['14:00:00', '14:45:00']
01-15,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '19:30:00']
01-15,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '20:15:00']
01-15,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-15,['amp_livingroom', 'kitchen_lights'],>,['19:30:00', '21:30:00']
01-15,['amp_livingroom', 'tv'],>,['14:00:00', '14:00:00']
01-15,['amp_livingroom', 'tv'],>,['19:30:00', '19:30:00']
01-15,['amp_livingroom', 'subwoofer_livingroom'],>,['14:00:00', '14:00:00']
01-15,['subwoofer_livingroom', 'kitchen_lights'],>,['14:00:00', '14:45:00']
01-15,['subwoofer_livingroom', 'kitchen_lights'],>,['18:30:00', '19:30:00']
01-15,['subwoofer_livingroom', 'kitchen_lights'],>,['18:30:00', '20:15:00']
01-15,['subwoofer_livingroom', 'kitchen_lights'],>,['18:30:00', '21:00:00']
01-15,['subwoofer_livingroom', 'kitchen_lights'],>,['18:30:00', '21:30:00']
01-15,['subwoofer_livingroom', 'tv'],>,['14:00:00', '14:00:00']
01-15,['subwoofer_livingroom', 'tv'],>,['18:30:00', '18:30:00']
01-15,['htpc', 'kitchen_lights'],>,['14:00:00', '14:45:00']
01-15,['htpc', 'kitchen_lights'],>,['19:30:00', '19:30:00']
01-15,['htpc', 'kitchen_lights'],>,['19:30:00', '20:15:00']
01-15,['htpc', 'kitchen_lights'],>,['19:30:00', '21:00:00']
01-15,['htpc', 'kitchen_lights'],>,['19:30:00', '21:30:00']
01-15,['htpc', 'tv'],>,['14:00:00', '14:00:00']
01-15,['htpc', 'subwoofer_livingroom'],>,['14:00:00', '14:00:00']
01-15,['hifi_office', 'office_lamp3'],>,['18:15:00', '18:15:00']
01-15,['gigE_&_USBhub', 'hifi_office'],>,['18:15:00', '18:15:00']
01-15,['gigE_&_USBhub', 'office_lamp3'],>,['18:15:00', '18:15:00']
01-16,['kitchen_lights', 'microwave'],>,['14:15:00', '14:30:00']
01-16,['amp_livingroom', 'kitchen_lights'],>,['23:00:00', '23:00:00']
01-16,['amp_livingroom', 'kitchen_lights'],>,['13:00:00', '13:00:00']
01-16,['amp_livingroom', 'tv'],>,['23:00:00', '23:00:00']
01-16,['amp_livingroom', 'tv'],>,['13:00:00', '13:00:00']
01-16,['amp_livingroom', 'tv'],>,['19:00:00', '19:00:00']
01-16,['subwoofer_livingroom', 'kitchen_lights'],>,['13:00:00', '13:00:00']
01-16,['subwoofer_livingroom', 'kitchen_lights'],>,['13:00:00', '14:15:00']
01-16,['subwoofer_livingroom', 'kitchen_lights'],>,['13:00:00', '16:30:00']
01-16,['subwoofer_livingroom', 'tv'],>,['13:00:00', '13:00:00']
01-16,['subwoofer_livingroom', 'tv'],>,['13:00:00', '19:00:00']
01-16,['htpc', 'tv'],>,['13:00:00', '13:00:00']
01-16,['htpc', 'tv'],>,['19:00:00', '19:00:00']
